product_id,name,price,quantity,category,production_date,expiration_date,rating,status
1,Капучино,6180,165,Напитки,2020-04-05,2026-01-05,0.03,In Stock
3,Каша из пшеницы спельты,2730,551,Бакалея,2006-02-14,2008-03-01,0.35,New
4,Цветная капуста,6631,19,Овощи,2008-01-15,2018-05-16,1.02,Returned
5,Пармезан,2373,125,Молочные продукты,2002-02-03,2028-08-12,3.81,Sold
7,Куриные бедра,588,897,Мясо,2002-04-03,2014-03-06,4.31,Pending
8,Глинтвейн,3331,104,Напитки,2017-01-03,2027-06-15,4.79,Refunded
10,Пакеты для спортивного инвентаря,3887,493,Товары для дома,2010-02-07,2017-02-09,3.72,Awaiting Payment
11,Мягкие игрушки,768,970,Товары для дома,2010-08-01,2024-01-12,4.23,Refunded
12,Цукини,2181,870,Овощи,1992-03-02,2005-04-12,2.42,Awaiting Payment
14,Каша из киноа,1630,87,Бакалея,2016-01-03,2030-02-01,1.97,Cancelled
16,Цветная капуста,1998,852,Овощи,2017-08-03,2017-09-25,1.24,Awaiting Review
17,Репа,3015,127,Овощи,1992-03-04,2018-06-04,1.59,Shipping
18,Пакет для хранения продуктов,2633,849,Товары для дома,1992-03-11,2015-01-06,3.74,Backorder
19,Манго,6349,625,Фрукты,1996-08-07,2027-01-12,0.22,Returned
20,Пакеты для спортивного инвентаря,4354,867,Товары для дома,1993-04-12,1995-07-07,4.87,Temporarily Unavailable
22,Доктор Пеппер,6057,937,Напитки,2006-03-01,2026-01-04,4.04,Pending
25,Свекла,5750,963,Овощи,2009-07-02,2014-10-02,1.44,Sold
27,Бритвенный станок,1293,938,Товары для дома,2021-02-02,2025-04-12,1.79,Sold
28,Кефир,5631,45,Напитки,2007-08-16,2027-03-01,3.85,On Backorder
29,Каша из поленты,6127,607,Бакалея,1993-03-11,2029-03-08,2.94,Delivered
30,Пакеты для Всемирного дня театра,5039,88,Товары для дома,2000-06-05,2021-03-01,3.74,Delivered
31,Сало,4247,206,Мясо,2002-04-02,2027-01-11,3.78,Delivered
32,Растительное масло тыквенное,4251,3,Бакалея,2007-06-01,2025-01-08,2.74,Returned
33,Чеснок,6077,295,Овощи,2018-05-09,2029-05-17,2.67,Pending
35,Соус соевый,2255,492,Бакалея,2002-07-08,2012-07-06,4.02,Sold
37,Пастила,2885,983,Бакалея,2007-01-04,2015-03-15,2.64,Temporarily Unavailable
39,Цветная капуста,367,658,Овощи,2012-01-04,2014-08-09,1.32,Out of Stock
40,Туалетная бумага,2962,972,Товары для дома,2010-01-01,2025-09-22,4.85,Awaiting Review
44,Карамбола,5015,552,Фрукты,1995-01-13,2024-05-04,2.41,Pending
45,Фейхоа,4285,949,Фрукты,2015-03-13,2027-05-03,2.12,Awaiting Payment
47,Гауда,3280,359,Молочные продукты,1990-06-04,2028-05-04,1.81,Refunded
50,Байкал,231,652,Напитки,2017-02-19,2030-02-03,3.17,On Backorder
51,Нафтуся,3898,270,Напитки,2002-02-24,2009-06-04,1.72,Delivered
52,Варенец,3951,818,Молочные продукты,2007-03-01,2009-02-01,0.81,Refunded
54,Каша из дробленой ячменя,2331,684,Бакалея,1999-01-02,2014-01-03,2.46,Awaiting Review
55,Каша из дробленной поленты,2821,331,Бакалея,2014-02-16,2022-10-08,0.32,Pending
56,Колбаса копченая,495,333,Мясо,2010-03-01,2029-06-10,4.5,Cancelled
57,Груша,2604,944,Фрукты,2009-01-08,2030-01-08,0.8,Awaiting Payment
59,Кавказская,6250,602,Напитки,1995-10-13,2011-09-04,0.46,Backorder
61,Сухое мясо,5834,813,Мясо,2012-02-02,2027-01-07,3.54,New
62,Новошахтинская,960,124,Напитки,2012-05-17,2030-03-25,3.86,Shipping
63,Карамбола,1354,500,Фрукты,2015-01-04,2026-05-10,2.53,In Stock
64,Карамбола,6122,506,Фрукты,1993-01-12,2006-02-10,2.97,Refunded
66,Фета,3655,152,Молочные продукты,2002-02-14,2029-07-16,3.34,Cancelled
67,Гранат,836,870,Фрукты,1990-02-08,2005-01-21,0.9,Out of Stock
68,Инжир,5987,935,Фрукты,2008-05-03,2024-06-03,0.98,Pending
73,Мандарин,6082,333,Фрукты,2007-08-02,2027-01-06,2.08,Out of Stock
74,Щавель,4580,274,Овощи,2000-02-01,2002-02-03,0.39,Sold
77,Имбирь молотый,6014,379,Бакалея,2008-02-07,2014-02-03,4.11,Refunded
78,Каша из проса,5362,212,Бакалея,2004-01-24,2024-04-16,4.83,On Backorder
79,Абрикос,4606,689,Фрукты,2002-01-01,2021-05-08,4.25,Awaiting Payment
82,Сельдерей,4671,39,Овощи,1997-06-09,2010-03-06,3.22,Refunded
83,Салфетки влажные,5977,633,Товары для дома,1994-01-01,2018-01-09,0.05,Awaiting Review
84,Старый источник,2958,831,Напитки,2012-04-04,2014-03-01,3.95,New
87,Пакеты для инструментов,4378,271,Товары для дома,1993-01-06,2008-04-01,0.3,New
90,Пакеты для детских вещей,2100,246,Товары для дома,2022-01-02,2026-01-08,2.54,In Stock
91,Мороженое,798,357,Молочные продукты,2013-01-04,2025-02-17,5.0,Pending
92,Каша из камута,2029,911,Бакалея,2014-02-22,2021-03-13,0.63,Out of Stock
93,Пакеты для запекания,619,272,Товары для дома,2019-02-03,2020-01-05,0.54,Refunded
95,Каша из дробленного пшена,6183,485,Бакалея,2021-04-09,2029-01-09,1.25,Awaiting Review
98,Авокадо,5026,807,Фрукты,2011-01-23,2027-01-14,2.84,Available for Pickup
99,Sprite Zero,4342,861,Напитки,1994-02-09,2013-07-03,3.41,Awaiting Review
101,Burn,1628,266,Напитки,2006-02-05,2021-09-02,3.95,Out of Stock
102,Шаурма,6033,84,Мясо,2004-01-03,2023-01-08,2.54,Refunded
105,Моцарелла,6287,716,Молочные продукты,2016-05-05,2029-02-04,4.14,Temporarily Unavailable
106,Щавель,2267,57,Овощи,2008-11-03,2021-07-01,4.95,Refunded
109,Пакеты для свадьбы,490,516,Товары для дома,2004-02-19,2029-03-16,1.08,Cancelled
110,Пармезан,4356,516,Молочные продукты,2000-01-14,2030-06-19,2.03,Out of Stock
111,Перец болгарский,2141,914,Овощи,2018-02-01,2020-04-03,0.59,Pending
112,Манго,2945,619,Фрукты,2004-06-15,2021-01-01,3.34,Sold
113,Кардамон молотый,6170,226,Бакалея,2020-02-07,2029-03-03,2.98,Cancelled
114,Пакеты для Всемирного дня музыки,2603,812,Товары для дома,2001-10-10,2012-01-05,4.24,Awaiting Payment
118,Спаржа,4630,958,Овощи,2008-04-13,2026-09-02,1.06,Pending
119,Крыжовник,1457,875,Фрукты,2018-08-03,2020-01-02,3.77,Refunded
120,Репа,4896,435,Овощи,1993-06-02,2020-02-07,2.62,Pending
121,Мультиварка,4962,411,Товары для дома,2004-06-02,2013-04-15,1.61,Sold
123,Масло оливковое,2095,990,Бакалея,1999-03-03,2029-01-01,0.16,On Backorder
125,Тыква,1707,916,Овощи,2003-01-03,2004-09-04,2.15,Available for Pickup
126,Груша,6172,889,Фрукты,1997-05-09,2025-02-13,3.22,Delivered
128,Нафтуся,3479,945,Напитки,1990-06-03,2022-02-11,2.72,Shipping
129,Чай зеленый,1487,308,Напитки,1990-01-16,1998-01-16,2.15,New
130,Карамбола,5802,244,Фрукты,2020-10-18,2024-04-08,0.69,Shipping
131,Полотенца банные,2998,76,Товары для дома,1991-06-16,2024-10-01,3.4,In Stock
133,Масала чай,792,489,Напитки,2011-04-10,2028-02-08,3.1,Delivered
135,Забайкальская,689,525,Напитки,2002-02-13,2019-01-10,2.72,Awaiting Payment
136,Отбивная,5030,273,Мясо,1993-04-02,2005-01-13,0.84,Temporarily Unavailable
137,Сэндвичи с ветчиной,4413,818,Мясо,2012-02-05,2013-03-07,1.37,Backorder
138,Ананас,5061,716,Фрукты,1998-03-02,2011-05-17,0.96,In Stock
139,Брынза,4556,776,Молочные продукты,2001-09-07,2002-05-08,0.38,In Stock
140,Ливерная колбаса,872,243,Мясо,1998-02-07,2019-06-01,2.24,Out of Stock
143,Волжанка,470,990,Напитки,2011-08-14,2024-02-21,2.52,In Stock
145,Пакеты для семинара,2901,452,Товары для дома,2018-01-09,2024-06-12,4.54,Out of Stock
147,Укроп,6191,280,Овощи,2002-01-07,2008-02-15,1.12,Shipping
148,Самарская,4902,834,Напитки,2005-01-11,2010-02-14,1.07,Temporarily Unavailable
149,Зубная паста,5409,705,Товары для дома,1992-07-05,2016-02-02,3.99,Temporarily Unavailable
150,Апельсин,5859,195,Фрукты,2020-01-01,2021-01-01,3.14,Cancelled
151,Батат,4139,940,Овощи,1991-01-06,2006-06-11,2.06,Refunded
154,Уксус,341,984,Бакалея,2003-05-04,2018-08-05,2.83,Awaiting Review
155,Каша из дробленного пшена,2699,964,Бакалея,2018-02-16,2030-02-13,4.46,Sold
157,Фенхель,6503,807,Овощи,1998-01-13,2006-09-05,4.58,Backorder
159,Фарш куриный,5892,623,Мясо,2022-04-15,2029-02-01,0.53,Refunded
160,Колбаса вареная,6699,381,Мясо,1990-02-16,2001-01-07,2.27,Cancelled
